author	comment	vote
艮艮	是执法还是犯法？当白人警察手握警权的时候，他们大概忘记了原来自己也是要守法的。更何况，他们面对的是这些外来移民，根深蒂固的种族歧视让他们忘了这些外来者也应当有基本的人权	44
冷酷的转发机器	一部重新让你思考人类社会阶级，权力，合法性的电影。狮子象征权力，人皆纵欲，权力欲是一头需要被控制的恶兽，Issa偷走幼狮，象征的是底层阶级分割统治阶级的权力；Issa在马戏团跟雄狮对峙，同样象征着他得到了权力。	68
郭连凯	和去年那部埃及的处女作比的话好太多了，有比较深刻的社会观察和种族冲突体现，有极为出色的最后一场冲突戏的调度以及情绪渲染，但比较遗憾的就是没有从短片作品中扩充出太多内容吧，像是为了将短片拍成长片做的命题作文。	6
丁一	悲惨世界，需要发泄，可防可控，终成大火	2
seabisuit	世界上没有坏种也没有恶人，只有坏的播种人庄稼地。这早已不是雨果的巴黎，海报上的人群也不是抗议，而是在庆祝拥有多半数有色人种的法国国家队夺得世界杯。当年轻的姆巴佩驰骋在绿茵场成为英雄，比他还要小的黑孩子跑在街头白警察仍然追不上他们。应该在非洲大草原自然生长的小狮子不堪呆在鸡窝，被关在马戏团笼子里的大狮子也仅是像会叫的狗一样不咬人。离得那么近为什么会开枪，仇恨的累积无限的报复只会植入到每一个亲历见证者年幼的心里以改变未来不可收拾，高级的暴力那就是革命。生猛成熟的处女作，与同样非常喜欢同获戛纳评审团奖的《巴克劳》都出现了无人机，用俯瞰的视角展现记录着那些不可告人足以抹去的杀戮。#金马56#年度十佳。	53
胤祥	#72nd Cannes# 评审团奖。比同名短片好太多了，篇幅足够把短片里没有时间说清楚的街区/族群政治讲明白了。这个意义上其实比[训练日]还是要高级和复杂一些。必须参照的还有导演拉德·利2006年的纪录短片《克利希-蒙费尔梅伊的365天》（2005年法国骚乱作为关键情节的背景信息）。开头节奏太慢，结尾先是煽情说教，再者是Issa黑化和复仇得有点战斗力太强，又要硬凑那个结尾。不过这片比《黑色党徒》在社会介入和愤怒表达上还是好很多。	23
brennteiskalt	拉吉·利的剧本里有典型的设计痕迹，三个警察主角以经典的本我自我超我模型为蓝本，代表了法律面对“平行社会”的三种处理方法。人物设定和剧情走向里这些范式大多时候是钳制而非规范了富有动力和震撼人心的场面戏，同时也没真正树立起来立体和令人关心的人物，这对于这部颇具警世作用的作品而言是个大缺憾。影片真正的冲突发生在成人与青少年之间。被卷入成人世界纷繁矛盾中的青少年在尾声前没有发言权，显然他们对于任何一个成人势力、任何一种规范或协商式的解决方式都感到失望。直到惊悚的“第二个结尾”时，联合起来的年轻力量才如此富有摧毁性，法国的未来正如最后一镜一样危险而不确定。如此来看，导演最后引用的雨果名言是针对所有成年人的：我们该如何浇灌这些祖国的花朵？	26
唐朝	在我们的文化和制度语境里，片中警察混乱中开枪打伤小孩，基本算是正当的。这帮小孩的野性和不可控，是我们的文化和制度不能接受的。西方法律或公民意识里对执法行为的合理性与边界线的争议，在我们这通常被简化为“你有没有配合执法者”的问题，没有，就是你的错。片中宗教和种族对立的移民社区，人性自由伸展，维持基本生存法则，在剑拔弩张中保持和平。这种管理方式，有点类似于西方初期对待疫情的态度——既然接受了不能（短期内）绝对控制的现实，那就采取措施防止它彻底崩坏。对待人性亦是如此，他们接受了人性复杂的现实，不去试图完全控制它，而是防止它沦落到法律不能容忍的程度，因此西方能够允许片中那样的移民社区存在。这种文化差异，正是我们的主流社会，不能接受难民或是那样的移民社区明目张胆存在的原因之一。我们需要一切都可控被控。	37
LOOK	4.5 反复出现的无人机视点，是物理层面的视点，又有引导、暗示整体叙事视点的作用。在呈现双方激烈对峙的过程中，拍摄者即便在高潮段落也竭尽全力做到类似无人机视点下的客观性、多元性，仇恨与善意其实共存。没有比定格于无解的对峙更合适的收尾。年度十佳。	17
嘟嘟熊之父	原声（景）重现的能力强到令人发指，但系统崩坏的摧枯拉朽程度不具备合理性。导演所有的表意都是叠加而非融合，是一种宣言，但不是对话。摄影机如同一个刻苦勤勉恪尽职守的好学生好员工，有全方位的优异，但缺少叛逆、睿智、幽默与动情。	18
凹凸	一场暴乱的诞生 不管是剧作还是调度都成熟得不像处女作 / SIFF第13场	30
黑狗成	大巴黎球迷导演，走向邪恶面的男孩选得这么像拉什福德，可能是个曼联黑，不过今年在你欧冠主场拿走一个逆转晋级，就不多计较了，片子没毛病，法国猛将长线跟。	9
十二辰子	法国版《为所应为》，但直接抛弃了种族融合的不可能想象，而是将症结归因于内部。前半段很有“种族特色”，后半程开始为拗而拗，强冲突和人物脸谱化都是很大的毛病。优点在于，社群矛盾的不可调和，归到底只有黑人才有资格反思黑人的问题。	9
Ou	具有单元剧的叙事特征，全片被分为比较平均的三个单元。人物功能被快速介绍，并重复使用。造成全片可信的不是社会真实，而是一种内部高效的调用。最后Issa站在台阶上手握燃烧瓶，极具象征性的姿势，链接超文本，冉阿让与马里尤斯。终归是有点取巧，离《阿尔及尔之战》或《为所应为》差了一线。	12
西帕克	看完惊觉，这就是姆巴佩时代的《为所应为》啊！占领街道的理由可以是政治，更可以是世界杯。我们将20岁的球星视作神灵，但更多15岁的孩子在街道流浪。革命的未来属于他们，但他们的未来却满是未知。	15
科林	警察、“奥巴马市长”、穆斯林“治安大队”，三路人马因一起幼狮失踪案牵扯瓜葛，殊不知，因果报应，自酿苦果。本片虽处女作，但格局大，完成度高，尽显法兰西社会动荡众生相。叙事视角独特，特意拍了几段三位警察的个人生活，以及航拍飞机的主观镜头，既有客观记录的窥探，又有上帝视角的俯瞰。片头欢呼世界杯夺冠的少年，对比片尾开放式结局的复仇，把孕育混乱之治的这片土壤抨击得深刻、过瘾，力道不输雨果。	10
浮影人生	看影片前四分之三的时候感觉很压抑也很气愤，当到影片结尾时候影片值两颗星。宗教和移民问题可能是目前世界面临最大的几乎无解的难题。之所以压抑，是影片具有明显的倾向性，开始就把执法者放在对立面面对，而把社会底层的黑人、伊斯兰教徒渣滓们塑造成了无辜者，却从未思考他们本身的恶行和思想的危险性。看完电影看资料才知道，导演是个不折不扣的黑人。黑人和伊斯兰教徒是世界的毒瘤，带给世界的是社会的动荡不安甚至是恐怖主义危机。中国广州黑人引起的社会问题已经初见端倪，如果不加以控制，危机就在不远的将来，这个在法国已经形成了灾难，用不了几十年，法国将成为黑人和伊斯兰教徒们的国家。其实一个国家一个政权在有些时候需要强权统治。评论里许多道德婊睁眼瞎一样指责执法者的错误而罔视渣滓们的违法，是一种事不关己的彻头彻尾的虚伪。	13
诗与美少胯	设计有余而暮气沉沉的感觉，get不到	4
巴伐利亞酒神	这个片子基本反映了二元世界中不可调和的对立和分化，其实和只有立场没有是非的现状很相似。双方都耗尽了耐心不愿再费唇舌，却又不肯卸下傲慢与偏见，这样误解就会一步步加深，事情就会变得越来越麻烦。造成的结果，恶警的今天就是善警的明天，小伊莎就是未来的萨拉赫或狮子王。另一方面，双方都觉得自己很委屈，但在不可调和的现状下又无路可退，就像那个戛然而止的结尾，一个精彩的隐喻：少年不肯扔掉燃烧瓶，警察也不愿放下手枪，于是竟然达成了一种骑虎难下的“和解”，尴尬又不失讽刺。	10
Derridager	尽管还是有新加入的警察这种警“匪”叙事的cliché（以平衡三人组的正义感），但还是消解了警察部队所谓的威严，带来了观看的乐趣——普通警察帮忙找狗，特种部队不过是帮忙寻狮。在刚刚展示红白蓝旗磨平肤色和阶层差异的景象后，以无人机为代表的镜头就迅速切入欢腾的另一面（也是日常层面），将一个被遗忘的社区图像尽收眼里。无人机（的监控）构成了对监控人民的警察的讽刺，也通过观察式的拍摄手法说明了创作者的态度——“我的朋友们，记住这一点，从来没有坏的杂草或坏的人。只有不好的种植者。”这种不多加评判的态度正是它高出那些肆意泄愤或刻意辩护的电影之处。特写和近景用得很好，让人感到冲突的日常和切近。还很喜欢冲突后突然摇上去拍阳台看客的镜头，不仅悬置评判的态度相对应，还强化了冲突的日常性——“这种事我们见多了”。	16
欢乐分裂	4.5；远超预测水准，好久没有一部新片能如此打动我，前半程的日常幽默隐现，过渡到后半段接连“反转”，简直可以用触目惊心来形容；现今常见题材亦能拍出动容的力量，剧本之扎实，调度之娴熟，意义之开拓，实属非一般的处女作，完全沉浸感。三方鼎立的派系斗争，三个警察之间的内部矛盾，人物关系架构得相当稳泰。以一名菜鸟警察视角切入种族、宗教、文化错综复杂的社区，以一微小事件撬动微妙而脆弱的街区平衡生态，不仅见证日常流程的运转，也回溯筑成今日现状的历史缘由，更预言/描摹暴力因子如何被人为植入，雨果笔下的「悲惨世界」依然具有醒世意义，历史的轮回何曾消停。	16
Paco	如无限延宕的结尾与导向方法论的字幕所示，并非没有立场，而是“体验即立场”；换句话说，字幕的出现节点比字幕本身更能代表这部电影（这点甚至比《为所应为》做得更好）：立场与观点不该是理论的结果，而是感受的结果。什么是和稀泥？和稀泥往往是调解者“不同在”的调解，而《悲惨世界》就是斯蒂芬，他确凿在场，以至于难以自保。妄图在俯瞰中描摹全貌的机位从本质上消失了，因为作者必须“下凡”，必须化身斯蒂芬。虽然没有完全舒张，但态度是如此清晰，充满征服力。	9
冰红深蓝	拉吉·利处女作，2019戛纳评审团奖。1.影片呈现了三重冲突：警民冲突、不同社群间的龃龉、警察三人组内部的分歧。2.铺陈阶段即利用两极镜头与快速变焦镜头彰显出混乱与不安感；全程以手持小景别镜头贴近人物，增强代入感；无人机的俯瞰视角间或插入，平衡影像节律与视点；高潮狭窄逼仄的楼道激战，在多方角度间不断切换，不偏不倚。3.比[流浪的迪潘]接地气得多，不过还是不若[为所应为]那样真正深入、细腻、立体地刻画角色，塑造群像（本作或许也受制于片长，人物还是偏脸谱化）。4.一场因抢狮子而引发的骚乱，狮子成为权力斗争与暴力冲突的隐喻。5.以世界杯后的同欢喜共庆贺起首，由千钧一发的惊险对峙戛然收尾，干脆利落。（8.5/10）	10
谢飞导演	非常不错的处女作！	10
没十斤公爵BOT	《悲惨世界》最值得注意的并不仅仅是其现实主义的风格以及对于种族，社会问题的关切。更为重要的是，拉德·利在这部写实风格的影片之下对于隐喻，象征的把控。被偷出的狮崽是一种潜在的energy，伴随着这一出现在影片之外的物理运动，“引入”电影之中，而影片本身也可以近似解读为a cub 's growing，直到成为结尾狂欢而安那其的影像怪兽。与此同时，另一隐喻则是在暴力之中突然抽离，上升，盘旋的无人机。一种domination power which transcends the body image，机器的审视或者神的审视。	4
水怪	开场庆贺的大场面和结尾处的反击骚乱场面都极其刺激眼球，也算是相呼应，这部分情绪上似乎有点共通娄公子刚上的风雨云。即便作为一部阶级革命片有点简单粗暴，但这种深入血液的暴动基因还是让自己艳羡不已啊！	2
SleepWalker	SIFF.  作为处女作调度真是屌爆了。前半段《训练日》式剧情很稳很耐心，后半段提速反而萎了，导演的掌控力逐渐丢失。我们都知道法国人民善于闹革命，剧本构思很明确直白，但是就呈现来看未免狭隘和偏激，一个宏大的命题最后的落脚是狭小的，结尾引用雨果原著的名句试图拔高主题，真不是很恰当。	6
晚不安	睁眼看看这个分裂的世界吧，不可调和的矛盾在群体之间一触即发。人物事件双驱动，纪实感是它的外观，也是力量所在。关注快速变焦的时刻——导演希望我们看到什么？马戏团的场景意指特别明显，弱者与更弱者都是笼中困兽。结尾仿佛是《开战》和《何以为家》的叠加，在三方悲剧性的对峙中，生而为人的根基在熊熊燃烧，最后的良知摇摇欲坠，但开放性又带来一线生机。问题被交还给观众：面对复杂的现实，常识失效了吗？他们的愤怒，具有建设性吗？我们的艺术，应该朝向何方？	13
文森特九六	狂欢面向未来，冲突来自过去，一切有了改变，却又似乎是蒙蔽于从未改变的隐藏，于此调度有了新的手段，空间有了新的碰撞，巡游有了新的视野，摄影机有了新的使命。持续的去发现去战斗，与鲁莽前进的时代保持距离，在混乱滞后的真相中冲锋陷阵。雨果笔下的冉·阿让们，不再仅仅是法兰西，全球化的历史巨变，并未能挥扬起自由的希望旗帜，领导众人的，依旧是弹药和燃烧瓶。可以作为开启20年代的钥匙，而下一个十年，亦将由拉吉·利们引领，关乎电影，关乎世界。	14
TWY	暴力但必经的危险之路与法则中的求和梦想之间冲撞着，而我们的电影出现在一个灰色地带中，它既默默凝视，也奔跑在迷雾与火焰中。	6
鸡头井。	也只有真正从底层社区生长而来的导演，才能用这么去张力的方法表现紧张与驳杂感。和《流浪的迪潘》相比，本片的行进是松弛的，在开篇具有纪实感的世界杯夺冠庆祝大场景后，转而进入微观世界，呈现无法归类的层次感，以及常常被外来者所忽略的日常生活的幽默感。“这只是一个玩笑”。	6
fallingraining	论恶是如何产生的。	1
天马星	调度太厉害了，最后一场楼梯戏，逼仄的空间也能调度自如。本身讲得并不是多跌宕起伏的故事，但节奏很棒，并且以小见大，讲述暴力如何养育滋养暴力，最后长成暴乱。不过相比去年的戛纳主竞赛还是有差距。	8
何阿嵐	經過了這多個月來，更不覺得電影裡的寫實感有多大力量和批判性，是能自圓其說展露社會層面，亦相比如今的某城，他所描寫的壞警察都稱得上文明人了，但那事不過「三」的執著，善與惡之間的角力在現實中無法簡化得這樣分明，從來都警察除暴安良是騙人話，戲中三位警察稱為「執屎佬」就差不多，地區勢力人士並不怕你，還要你做和事佬，為怕引發雙方勢力衝突，要在危機發生前擺平事件，小事化大是可預期的，發展下去就在玩弄危機邊緣之中，電影開場不久是2018年法國隊獲得世界冠軍的時刻，舉國歡騰，連Saint-denis區的小孩都也會走到Les Champs-Elysées享受快樂，三色國旗飄揚在凱旋門前，一片景象是不論人種顏色為國家勝利而喝采與自豪，那平常又會不會當身邊出現的這些人一回事？也想到游達志的《非常突然》。以為所有事情完結，但新勢力開始武裝起來...	2
击破苍穹	这种片子也能得8.2分？你让训练日和上帝之城怎么说？ 而且作为在这一带的片警，他们已经算是尽职尽责了，维护秩序，避免冲突，努力寻回失物。在这种街区巡逻，本身安全都是个事儿。三个成年人警察都是有责任心理智的人，而那些狂暴的问题少年，防碍执法，甚至攻击国家公务人员。。很难值得同情。好庄稼要长好要有国家层面的土壤，而非几个底层执法者所能改变的。	3
一个短篇	四星水準，看一半多感覺是ptu劇本，仔細一想（過度解讀一下）這部的白天是沒有時限的是沒有縱深的，或許這是為了把這個社區的事件通過平面的共時輻射開；結尾看著很害怕，我覺得即使同樣是對於當下建制的反抗，我們應該擁抱開戰這樣的電影而不是這部	1
天籁💤	小小的暴乱，给看客内心留下大大的震撼。无人机视角是最特别的一个地方，沉默的、愤起的、凶暴的、怯懦的、摇摆不定的…… 尽收眼底，后半段的观影体验仿佛闯4D鬼屋，不知炙热的怒火光弹会在何时何处以何种方式被点燃。没有与生俱来的恶，只有权力的实感和暴力的快感催生的“失控”。可如果把以暴制暴当成宣泄愤怒的途径…… 不禁联想到黄色的雨伞和黑色的口罩。	3
寒枝雀静	A / 愈发欣赏这种用杂糅的叙事语气所营造的微观政治观察，某种程度上和《抱歉打扰》可以算是一体两面的成功例子。	11
发条橙	我的朋友们，记住这一点，从来没有坏的杂草或坏的人，只有不好的种植者。	4
vivi	这一刻我想起观影的那个下午，突然心头一颤。生猛而流畅，直击心灵，这才是我认为的“每分钟120击”的样子。	4
Matrimandir	所谓法国新晋导演的处女作拿了一个戛纳并列的评委奖，对比白天肯洛奇电影中的描述群体的普遍性和这部电影里的极端个案（每个国家似乎都有这样的极端），煽情过度。 完全不如这次同样参展的新疆导演处女作《最后一次的离别》，同样是拍家乡。	3
舌在足矣	航拍与手持镜头相穿插，社区里各色的人物群像，还有最后四十分钟一个接一个的高潮，尽管是一部处女作，拉吉·利对暴力的循环与无解所做的社会学剖析已然可以比肩不少影史经典了	9
Muto	在科技突飞猛进的今日，电影里的各类炫酷镜头早已屡见不鲜。眼下的《悲惨世界》之所以还能给我们带来“观看”意义上的震撼，是因为拉吉利对于“天眼”的妙用。观众和摆弄着新科技的少年人一样，洞见了惨剧的发生，但事件的来龙去脉却被放置在了空中。我们只看到了一群人追着一架无人机满世界跑，真相是什么不再重要，重要的是，谁掌握了真相谁就拥有发言权。毫无疑问，成年人最终拿起了武器，而被教训的少年人只能用行动发声：我们是人而非兽。影片真正的冲突在于，强者把弱者当做动物来对待。事实上，在人与兽互相对峙的马戏团里，每个人心里都有一头雄狮。且不说未成年人难以将它驯服，就连成年人也有控制不住它的时候。影片最终的落脚点在于心理创伤，以及道德秩序的重建。但暴乱于结尾还在升级，我们看到的不是战火在奄奄一息，而是仇恨在变本加厉。	5
基瑞尔	在短片之外做了非常多又丰富的延伸，警队三人的部分和街区各个为政颇有《南城警事》或是《火线》的vibe，若是导演真的以后糊了（才没有），电视圈敞开大门拥抱你。巴黎一天，苦痛一世；任何问题的根源在这里渐渐发芽，百年前的故事从未真正走远。	3
大海里的针	1、黑人导演处女座，提出了问题，但是很难找到解决办法。2、政府的控制力太薄弱，所以基层控制权到了宗教领袖、帮派领袖手里，“乡贤”统治基层大约等于中国的封建时期吧。3、黑人帮法国人打赢了二战，却没有得到应有的社会地位，所以法国人再难受也要忍下去，还好中国不是移民国家。	2
五色全味	這難道不是一個香港故事麼⋯警察線做主軸寫得夠完整，孩子那條線反而欠缺了深入	2
同志亦凡人中文站	短片的感觉其实更好，压迫感从头至尾，扩成长片后总觉得不够锋利。不属于游客的巴黎，各种社会矛盾如积薪厝火，只需要一点火星就能制造人间炼狱。“这个世界没有坏的庄稼或坏的人，只有坏的庄稼人”，雨果在一百多年前就写出了善恶因果律。开放式结局好评~	5
451½°F™	2019SIFF。作为导演处女长片，对于镜头移动，剪辑和节奏感都把握不错（航拍镜头让人感觉偷师《怒火青春》），关于法国民众（贫民区）对警察（权力）的反抗与冲突虽然有直面的刻画，但是最终只是一种「景观」，最后开放式的结局更像一种「我也不知道怎么办」的无力，从批判性上不如「开战」。PS：当下能够直接呈现大规模「暴动」场面的恐怕只有法国电影。	4
白兔糖	种族问题严重了就容易爆发这样的恶果。我并非种族主义者，但看看现在的广州，电影里的今天，也可能是我们的明天。这片子适合zf会议上循环播放播放，真的。	6
alain.proust	三位已然充满自我矛盾的警察似乎从三种向度上共同唤醒了一个更为复杂的角色——沙威（Javert）。	4
stillme	视角单一化、人物脸谱化，以牙还牙的简单逻辑，站边挺明显，孩子做什么都无罪论，男孩的转变非常突兀，粗暴、蛮横的对待确实存在，但整起事件并非全都是恶意加害，而之后的复仇却是恐怖分子级别的了，警察里姑且还有个温和派，但孩子群里却没有，这也是提醒众人边缘且低龄的孩子别随便惹，他们更能团结一心，破坏力惊人，因涉世未深、敏感躁动而更难沟通～那个叫萨拉的黑人有点像当地的牧师，但他没有担当起和平使者增进双方的理解，反而觉得愤怒只有以暴制暴一种出路，也是诧异～毕竟那个所谓的巡逻警头头是外强中干型，不是残暴到必须杀之后快，权钱交易、黑白勾结，只是蜻蜓点水，没有素材来解释警察的行为逻辑～新人警察这么有说服力也是少见，如是极端环境他早就被干掉了，悲剧点在于警察的态度刚软化就被暴击了，预示着没完没了的冤冤相报吧～	8
睡不着瞇着	发生在雨果写作《悲惨世界》街区的当代悲惨世界。一系列的警察滥权（以至“I am the law”）、躲过惩罚但路人皆视其为仇雠的场景，无法不产生对照。当然法国人的反抗方式实在比某地暴烈凶悍太多，因为在系统性包庇的暴力之外，还叠加了被系统性屏蔽的压迫：族裔、宗教、阶级、甚至年龄……原本罩住当地小孩的大汉试图阻拦群童报复警察时，被遭枪击男孩带头打伤。对这些受尽欺压冷眼、生在恐惧和抱团本能之中的小孩来说，本该捍卫自己却以成人姿态扮演着警权妥协者、勾兑者的角色，恐怕还积攒着更深的被辜负的恨。这不再是一个有仲裁者的世界因为它已如此根深蒂固地不平等。电影结束在对峙中，总算躲过了直面血腥一幕和毫无疑问将更为血腥的后续。这样一幕能回避吗？当然可以但显然不是在它发生的那个时刻。不看到暴力背后的因果暴力只有无解循环	10
[已注销]	#22ndSIFF#对人权议题不厌其烦地探讨也是法国电影的一大特色了。说句政治不正确的话，黑人真是反文明物种。	9
木由	太难受了，心里堵着疼。闻者色变的大巴黎93省，由仇恨引起的警民大混战。因为太真实，因为这一切明天可能就会发生。难以想象当初冲着la belle époque来法国的我今天看这种电影反而觉得更日常，回不去了。移民不是坏事，但是要量力而行，循序渐进。若不能提供移民足够的教育和工作，只会让移民的孩子在仇恨和恐惧中长大，让社会向下拉齐。教育是百年大计，盲目吸收移民，养而不教并非恩赐，是孽障。	4
咱说	“如果只有发泄怒火才能换来倾听呢？”
镜头调度非常娴熟，算计颇为工整，三个主演简直不像是新人！高潮之前三人各回各家那段有点松。特别留意到从头到尾出镜的“主角”那栋廉租房公寓外观非常好看，实际上导演“不经意”地在很多场景都展示了各种外观好看的廉租房，可是，在它漂亮的外观之下，是拥挤的人居和隐匿的罪恶，在它漂亮的外观周围，是颓废的街区和赤裸的罪恶，政府光把房子建这么好看有什么用呢？	3
有心打扰	戏剧张力太强悍，哪怕已经黑屏滚动字幕，整颗心仍紧紧揪着，害怕从眼前的画面里传来枪声。而结局呢？是达成一次和谐的谅解，还是造成了无法挽回的进一步的危机导火索呢？随着落幕，留在每个人的心里。	1
电个爆炸头	简洁有力，用一个午后的一场事件带出阶级对立，种族分歧，社区冲突等现实问题。我们从中可以清晰地看到，暴力正在孕育更多暴力，偏激正在激发更多偏激，矛盾正在衍生更多矛盾。这个社会的分化与撕裂问题真的越来越严重了。	1
斯大凌	比想象得更加流畅，前面一大半相当于《为所应为》加上《怒火青春》，角色脸谱化是非常大的问题；高潮新群体和新势力的引入一定程度上做到了升华，但还是欠了些火候。	3
